TXNAME	GENEID	HepG2_directRNA_R1.sorted	A549_directRNA_R2.sorted	A549_directRNA_R3.sorted	HepG2_directRNA_R2.sorted	HepG2_directRNA_R3.sorted	A549_directRNA_R1.sorted
ENST00000401751	ENSG00000100012	0	0	0	0	0	0
ENST00000401755	ENSG00000185133	0	0	0	0.09719	0	0.5
ENST00000401756	ENSG00000100298	0	0	0	0	0	0
ENST00000401779	ENSG00000177989	0	0	0	0	0	0
ENST00000401833	ENSG00000183597	0	1	0	0	0	0
ENST00000401850	ENSG00000128274	0	16.2	4	0	0	0
ENST00000401885	ENSG00000100031	0	0	0	0	0	0
ENST00000401886	ENSG00000183597	0	0	0	0	0	0
ENST00000401924	ENSG00000133475	0	0	0	0	0	0
ENST00000401950	ENSG00000100330	11.7141	27.70582	7	0	0	1.5
ENST00000401959	ENSG00000100138	1.39053	10.81545	0	0	0	1.70642
ENST00000401975	ENSG00000128242	0	0	0	0	0	0
ENST00000401994	ENSG00000099889	0	0	0	0	0	0
ENST00000402027	ENSG00000183169	0	0	0	0	0	0
ENST00000402034	ENSG00000214491	1	0	0	0	0	0
ENST00000402042	ENSG00000196588	0	7.10152	0	0.25	0.57878	0
ENST00000402061	ENSG00000100147	0	0	0	0	0	0
ENST00000402064	ENSG00000184381	0	1	0	0	0	0
ENST00000402077	ENSG00000100379	2.5	53.84057	16.62701	0	0.33333	4.5
ENST00000402105	ENSG00000100099	3.8883	12.60968	3.5605	4	0	0.48225
ENST00000402116	ENSG00000100353	0	0	0	0	0	0
ENST00000402126	ENSG00000186951	0	0	0	0	0	0
ENST00000402142	ENSG00000100346	0	0	0	0	0	0
ENST00000402174	ENSG00000183579	0	0	0	0	0	0
ENST00000402176	ENSG00000230712	1	0	0	0	0	0
ENST00000402182	ENSG00000179750	1	9.17613	0	0	0	0
ENST00000402203	ENSG00000100354	0	0	0	0	0	0
ENST00000402217	ENSG00000169314	0	0	0	0	0	0
ENST00000402229	ENSG00000100266	1.21566	0	1.01915	0	0	0
ENST00000402238	ENSG00000185133	2	0	0	0	0	0
ENST00000402249	ENSG00000100100	0	0	0	0	0	0
ENST00000402255	ENSG00000128383	0	0	0	0	0	0
ENST00000402281	ENSG00000100029	0	0	0	0	2.5	0
ENST00000402284	ENSG00000100029	0	1.13601	0	0	0	0
ENST00000402286	ENSG00000100012	0	0	0	0	0	0
ENST00000402320	ENSG00000133424	0	0	1.18506	0.66667	0	0
ENST00000402321	ENSG00000128242	0	5.28174	7.26544	0	0	1.62853
ENST00000402338	ENSG00000100162	1	0	1.75536	0	0	0
ENST00000402357	ENSG00000219438	0	2.18182	0	0.5	0	0
ENST00000402369	ENSG00000128242	4.5	24.72183	10.10183	0	0	3.37152
ENST00000402380	ENSG00000130638	0	0	0	0	0	0
ENST00000402395	ENSG00000198832	0	0	0	0	0	0
ENST00000402420	ENSG00000100162	0	1	0	0	0	0
ENST00000402438	ENSG00000100243	0	0	0	0	0	0
ENST00000402458	ENSG00000100138	0	1.60406	0	0	0	0
ENST00000402472	ENSG00000073150	0	7.18466	3.39004	1	0	1
ENST00000402502	ENSG00000100280	0	0	0	0	0	0
ENST00000402527	ENSG00000100316	2.01407	5.26194	1.00344	0	1.06947	2.03224
ENST00000402580	ENSG00000196419	0	1.48869	0	0	0	0
ENST00000402588	ENSG00000099984	0	0	0	0	0	0
ENST00000402592	ENSG00000100003	0	0	0	0	0	0
ENST00000402630	ENSG00000196588	0	1	0	0	0	0
ENST00000402631	ENSG00000100139	0	0	0	0	0	0
ENST00000402697	ENSG00000185686	0	31.03012	11	0	0	0
ENST00000402731	ENSG00000183765	0	0	0	0	0	0
ENST00000402752	ENSG00000099901	209	1057.41117	309.71259	28	22	107
ENST00000402753	ENSG00000217442	0	0	1	0	0	0
ENST00000402766	ENSG00000138867	0	0	0	0	0.5	0
ENST00000402785	ENSG00000100068	0	0.66667	0	0	0	0
ENST00000402844	ENSG00000100372	0	0	0	0.97027	0	0
ENST00000402849	ENSG00000100028	0	0	0	0	0	0
ENST00000402859	ENSG00000100068	0	0	0	0	0	0
ENST00000402860	ENSG00000185264	0	0	0	0	0	0
ENST00000402876	ENSG00000188677	0	1	0	0	0	0
ENST00000402881	ENSG00000100335	0	0	0	0	0	0
ENST00000402918	ENSG00000166897	0	7	6	0	0	1
ENST00000402937	ENSG00000198951	2.27905	4.18572	0	0	0	1.69437
ENST00000402966	ENSG00000184208	2	10	2	0	0	1
ENST00000402979	ENSG00000100095	0	0	0	0	0	0
ENST00000402984	ENSG00000077942	0	1.34243	0	0	0	0
ENST00000402997	ENSG00000100055	0	0	0	0	0	0
ENST00000403026	ENSG00000128346	0	0	0	0	0	0
ENST00000403066	ENSG00000100012	0	0	0	0	0	0
ENST00000403084	ENSG00000184113	0	0	0	0	0	0
ENST00000403121	ENSG00000100095	0	0	0	0	0	0
ENST00000403184	ENSG00000093010	0	0	0	0	0	0
ENST00000403208	ENSG00000133460	0	0	0	0	0	0
ENST00000403210	ENSG00000198792	0	0	0	0	0	0
ENST00000403222	ENSG00000184792	0.5	0	1	0	0	0
ENST00000403230	ENSG00000100201	4.56872	9.08559	2	0	1	0
ENST00000403251	ENSG00000241360	0	0	0	0	0	0
ENST00000403268	ENSG00000167065	2	4.97592	1	0	0	0
ENST00000403299	ENSG00000100065	9.78534	6.06343	5.44645	0	0	0
ENST00000403305	ENSG00000128346	0	1	2	0	0	0
ENST00000403313	ENSG00000100348	1	2	0	0	0	0
ENST00000403325	ENSG00000185838	5.707	20.95248	3.63219	0	0	0
ENST00000403326	ENSG00000177989	0	5.2289	2.50903	0	0	0
ENST00000403362	ENSG00000099992	0	0	0	0	0	0
ENST00000403363	ENSG00000198951	0	1.04643	0	0	0	0
ENST00000403389	ENSG00000099985	0	0	0	0	0	0
ENST00000403427	ENSG00000184164	0	0	1.053	0	0.33333	0
ENST00000403435	ENSG00000186575	0	0	0	0	0	0
ENST00000403441	ENSG00000185686	0	0	0	0	0	0
ENST00000403463	ENSG00000099985	0	0	0	0	0	0
ENST00000403477	ENSG00000099992	0	0	0	0	0	0
ENST00000403492	ENSG00000167077	0.33333	0	0	0	0	0
ENST00000403503	ENSG00000100027	0	0	0	0	0	0
ENST00000403532	ENSG00000100219	15.78807	3.83969	1.6	0	2.14706	4.577
ENST00000403565	ENSG00000056487	0	0	0.25	0	0	0.25
ENST00000403581	ENSG00000186654	0	0	0	0	0	0
ENST00000403586	ENSG00000099960	0	0	0	0	0	0
ENST00000403642	ENSG00000183765	0	0	0	0	0	0
ENST00000403662	ENSG00000100368	0	0	0	0	0	0
ENST00000403663	ENSG00000100106	4	14.52876	8	0	0	2.28571
ENST00000403682	ENSG00000185252	1	3.37187	0	0	0	0
ENST00000403696	ENSG00000186654	0	0	0	0	0	0
ENST00000403707	ENSG00000099899	1.53064	23.9476	1.77826	0	0	3.93521
ENST00000403710	ENSG00000093010	0	28.62282	6.19713	0	1	7
ENST00000403744	ENSG00000100266	0	0	0	0	0	0
ENST00000403754	ENSG00000099977	0	1.01775	1.00335	0	0	0
ENST00000403807	ENSG00000169575	0	0	0	0	0	0
ENST00000403838	ENSG00000100031	2.56532	0	1.20008	0	0	1.94432
ENST00000403880	ENSG00000128294	0	0	0	0	0	0
ENST00000403888	ENSG00000100379	7.5	2.34089	0	0	0.33333	0
ENST00000403892	ENSG00000128311	24.84353	121.79274	34.27227	4.77512	8	8.76669
ENST00000403904	ENSG00000213923	0	0	0	0	0	0
ENST00000403975	ENSG00000176635	0	0	0	0	0	0
ENST00000403987	ENSG00000128342	0	0	0	0	0	0
ENST00000403999	ENSG00000186575	1	0	0	0	0	0
ENST00000404034	ENSG00000100425	0	0	0	0	0	0
ENST00000404038	ENSG00000186976	0	0	1	0	0	0
ENST00000404045	ENSG00000178026	0	0	0	0	0.5	0
ENST00000404056	ENSG00000099958	0	0	0	0	0	0
ENST00000404067	ENSG00000100162	0	7.4893	2.44829	0	0	0.52055
ENST00000404072	ENSG00000100151	0	1.71429	0	0	0	2
ENST00000404092	ENSG00000099977	0	0	0	0	0	0
ENST00000404171	ENSG00000100362	0	0	0	0	0	0
ENST00000404172	ENSG00000133433	0	0	0	0	0	0
ENST00000404223	ENSG00000100031	0	2.09836	0	0	0	0
ENST00000404234	ENSG00000100095	0	0	0	0	0	0
ENST00000404241	ENSG00000128272	0	0	0	0	0	0
ENST00000404276	ENSG00000183765	1.21833	0	0	1	0	3.45572
ENST00000404284	ENSG00000100284	0	0	0	0	0	0
ENST00000404334	ENSG00000100053	0	0	0	0	0	0
ENST00000404354	ENSG00000077935	0	0	0	0	0	0
ENST00000404390	ENSG00000185133	0	0	0	0.25795	0	0
ENST00000404393	ENSG00000128309	1.04524	1.0345	0	0	0	0
ENST00000404435	ENSG00000220248	0	0	0	0	0	0
ENST00000404453	ENSG00000185133	0	0	0	0.09719	0	0.5
ENST00000404488	ENSG00000184164	0	1.07246	0	0	0.33333	0
ENST00000404532	ENSG00000100031	0	0	0	0	0	0
ENST00000404569	ENSG00000100335	0	1.0193	0	0	0	0
ENST00000404574	ENSG00000183963	0	2.45234	0	0	0	0
ENST00000404583	ENSG00000205643	0	3.15789	0	0	0	0
ENST00000404603	ENSG00000100028	0	0	0	1	0	0
ENST00000404664	ENSG00000138867	0	0	0	0	0	0
ENST00000404699	ENSG00000175329	0	0	0	0	0	0
ENST00000404724	ENSG00000093009	0	9.27679	2.12719	0	0	1.03541
ENST00000404744	ENSG00000205643	0	0	0	0	0	0
ENST00000404751	ENSG00000099899	0	0	0	0	0	0
ENST00000404755	ENSG00000186998	0.66667	0	0	0	0	0
ENST00000404760	ENSG00000100425	1.45696	1.96079	1.82534	0	0	0
ENST00000404802	ENSG00000128309	0	1.03083	0	0	0	0
ENST00000404820	ENSG00000186998	0.66667	0	0	0	0	0
ENST00000404876	ENSG00000100207	3	1	0	0	0	1
ENST00000404885	ENSG00000167065	0	0	0	0	0	0
ENST00000404898	ENSG00000100346	0	0	0	0	0	0
ENST00000404920	ENSG00000100031	0	0	0	0	0	0
ENST00000404953	ENSG00000239282	0	4.14815	1	0	0	0
ENST00000404989	ENSG00000188677	0	0	0	0	0	0
ENST00000405009	ENSG00000185838	0	0	0	0	0	0
ENST00000405018	ENSG00000100242	0	0	0	0.78503	0	0
ENST00000405089	ENSG00000183773	0	0	0	0	0	0
ENST00000405091	ENSG00000185264	0	0	0	0	0	0
ENST00000405135	ENSG00000177989	0	0	0	0	0	0
ENST00000405147	ENSG00000100083	0	0	0	0	0	0
ENST00000405188	ENSG00000133475	0	0	0	0	0	0
ENST00000405198	ENSG00000100280	0	0	0	0	0	0
ENST00000405206	ENSG00000100055	0	0	0	0	0	0
ENST00000405219	ENSG00000100219	1.04733	1.08247	0	1.02076	0	0
ENST00000405237	ENSG00000205560	0	6	0.33333	0	0	1
ENST00000405286	ENSG00000133460	7.59943	0	0	0	1.5	0
ENST00000405300	ENSG00000185133	0	0	0	0.25795	0	0
ENST00000405309	ENSG00000100105	10.95382	3.52961	0	0	0	0
ENST00000405340	ENSG00000133460	0	0	0	0	0	0
ENST00000405369	ENSG00000218357	0	0	0	0	0	0
ENST00000405409	ENSG00000100320	30	53	21	3	1	8.80084
ENST00000405442	ENSG00000100353	0	0	0	0	0	0
ENST00000405465	ENSG00000128185	0	0	1.06972	0	0	0
ENST00000405484	ENSG00000128340	0	0	0	0	0	0
ENST00000405486	ENSG00000100401	0	0	0	0	0	0
ENST00000405506	ENSG00000196419	10.63492	9.82873	0	0.34239	0	3.10006
ENST00000405510	ENSG00000100242	0	7.76274	0	3.60749	0	0
ENST00000405557	ENSG00000100142	0	0	0	0	0	0
ENST00000405598	ENSG00000183765	0	0	0	0	0	0
ENST00000405640	ENSG00000215012	8	13.39946	3.5	1	0	0
ENST00000405655	ENSG00000185686	0	34.35825	34.16908	0	0	3.67816
ENST00000405659	ENSG00000187860	0	0	0	0	0	0
ENST00000405673	ENSG00000100376	0	0	0	0	0	0
ENST00000405675	ENSG00000213923	5.46261	4.72746	4.72373	0	1	0
ENST00000405677	ENSG00000100029	0	0.00001	0	0	0	0
ENST00000405717	ENSG00000100003	0	0	0	0	0	0
ENST00000405742	ENSG00000185339	0	0	0	0	0	0
ENST00000405822	ENSG00000099991	0	0	0	0.8	0	0.37372
ENST00000405847	ENSG00000133460	0	0	0	0	0	0
ENST00000405854	ENSG00000188511	0	0	0	0	0	0
ENST00000405878	ENSG00000196419	3.91327	0	3.84889	0	0	0
ENST00000405930	ENSG00000099904	0	0	0	0	0	0
ENST00000405938	ENSG00000100109	0	2.03129	1	0	0	0
ENST00000405993	ENSG00000185252	0	0	0	0	0	0
ENST00000406028	ENSG00000184113	0	0	0	0	0	0
ENST00000406029	ENSG00000100167	0	0	0	0	0	0
ENST00000406117	ENSG00000100344	0	0	0	0	0	0
ENST00000406172	ENSG00000184702	0	0	0	0	0	0
ENST00000406199	ENSG00000100246	0	0	0	0	0	0
ENST00000406208	ENSG00000100029	0	0	0	0	0	0
ENST00000406213	ENSG00000218537	1	6	1	0	1	0
ENST00000406230	ENSG00000100368	0	0	0	0	0	0
ENST00000406259	ENSG00000099889	0	0	0	0	0	0
ENST00000406271	ENSG00000100065	0	0	0	0	0	0
ENST00000406293	ENSG00000100321	0	0	0	0	0	0
ENST00000406323	ENSG00000183579	0	0	0	0	0	0
ENST00000406324	ENSG00000198125	0	2	0	0	0	0
ENST00000406335	ENSG00000100263	0	0	0	0	0	0
ENST00000406361	ENSG00000128242	0	4.68499	0	0	0	1.21774
ENST00000406385	ENSG00000100023	14.36816	4.46745	0	2	3.26839	0
ENST00000406386	ENSG00000100106	7	45.82148	20	0	0	5.71429
ENST00000406395	ENSG00000184702	0	0	0	0	0	0
ENST00000406423	ENSG00000100124	3	0	0	0	0	0
ENST00000406477	ENSG00000188677	0	0	0	0	0	0
ENST00000406486	ENSG00000197077	0	0	0	0	0	0
ENST00000406503	ENSG00000185686	0	0	0	0	0	0
ENST00000406508	ENSG00000128340	0	0	0	0	0	0
ENST00000406516	ENSG00000182541	0	2	0	0	1	0.5
ENST00000406520	ENSG00000093010	9.78401	0	0	4.54304	1.7969	0
ENST00000406522	ENSG00000099889	0	0	0	0	0	0
ENST00000406548	ENSG00000182944	0	0	0	0	0	0
ENST00000406549	ENSG00000185340	0	0	0	0	0	1.16383
ENST00000406566	ENSG00000100036	0	0	1	0	0	0
ENST00000406622	ENSG00000100242	0	0	0	0	0	0
ENST00000406629	ENSG00000100330	0	0	0	0	0	0
ENST00000406644	ENSG00000167074	0	0	0.5	0	0	1
ENST00000406725	ENSG00000187045	3	0	0	0	1	0
ENST00000406733	ENSG00000054611	5.29107	0	4	0	0	2.77567
ENST00000406772	ENSG00000100083	3.44974	3.54858	0	1.5	0	0
ENST00000406799	ENSG00000099937	0	0	0	0	0	0
ENST00000406855	ENSG00000099958	0	0	0	0	0	0
ENST00000406856	ENSG00000187045	0	0	0	0	0	0
ENST00000406876	ENSG00000100218	0	0	0	0	0	0
ENST00000406880	ENSG00000219438	14	0	0	1	1	0
ENST00000406902	ENSG00000075240	0	0	0	0	0	0
ENST00000406910	ENSG00000100362	0	0	0	0	0	0
ENST00000406912	ENSG00000220702	0	0	0	0	0	0
ENST00000406915	ENSG00000217442	0	0	0	0	0	0
ENST00000406934	ENSG00000100129	2.56393	0	0	0	0	0
ENST00000406938	ENSG00000100288	12.59202	14.60945	4.7993	0	1	0
ENST00000406955	ENSG00000128242	0	1.76058	3.63272	0	0	0
ENST00000406969	ENSG00000099917	2.26891	0	0	0	0	0
ENST00000407019	ENSG00000093000	0	2.0388	1.05128	0	0	2
ENST00000407029	ENSG00000196588	0	0	0	0	0.67555	0.48985
ENST00000407075	ENSG00000100351	0	0	0	0	0	0
ENST00000407082	ENSG00000099956	0	0	0	0	0	0
ENST00000407117	ENSG00000100124	0	0	0	0	0	0
ENST00000407120	ENSG00000220891	0	0	0	0	0	0
ENST00000407142	ENSG00000100034	0	0	0	0.5	0	0
ENST00000407148	ENSG00000100109	0	0	0	0	0	0
ENST00000407188	ENSG00000183762	3	0.5	0	0	0	0
ENST00000407217	ENSG00000184164	0	0	0	0	0.33333	0
ENST00000407236	ENSG00000186951	6	0	0.5	0.5	2	0
ENST00000407253	ENSG00000100162	1	30.84695	13.05703	0	0	5.47945
ENST00000407298	ENSG00000179750	0	0	0	0	0	0
ENST00000407308	ENSG00000167065	0	0	0	0	0	0
ENST00000407319	ENSG00000100106	0	28.64975	13	0	0	4
ENST00000407332	ENSG00000100243	0	0	0	0	0	0
ENST00000407373	ENSG00000184792	0	0	0	0	0	0
ENST00000407381	ENSG00000054611	1.16631	0	0	0	0	0
ENST00000407418	ENSG00000183741	7	52	33	1	2	3
ENST00000407422	ENSG00000099956	73.99634	91.71091	40.08621	3.85714	3.54626	9.6
ENST00000407431	ENSG00000100109	7.76034	27.26116	0	0	0	1.99645
ENST00000407461	ENSG00000100413	0	0	0	0	0	0
ENST00000407464	ENSG00000169635	0	0	0	0	0	0
ENST00000407471	ENSG00000138867	0	0	0	0	0	0
ENST00000407472	ENSG00000215012	0	6.4504	0	0	0	0
ENST00000407491	ENSG00000244627	0	0	0	0	0	0
ENST00000407537	ENSG00000093010	0	0	0	0	0	0
ENST00000407550	ENSG00000242114	3.14804	30	11	0	1	1.12982
ENST00000407585	ENSG00000100266	0	0	0	0	0	0
ENST00000407587	ENSG00000133454	0	0	0	0	0	0
ENST00000407598	ENSG00000169635	0	0	0	0	0	0
ENST00000407614	ENSG00000183569	0	0	0	0	0	0
ENST00000407623	ENSG00000100243	0	0	1.11601	0	0	0
ENST00000407673	ENSG00000100346	0	0	0	0	0	0
ENST00000407689	ENSG00000239282	0	21.77778	6	0	2	1
ENST00000407690	ENSG00000100109	9.23966	31.58073	6.88696	1.80617	0	6.00355
ENST00000407755	ENSG00000128191	9.49521	11.542	10.48136	1	0	0.09451
ENST00000407817	ENSG00000185339	0	0	0	0	0.5	0
ENST00000407835	ENSG00000093009	0	0	0	0	0	0
ENST00000407886	ENSG00000206069	0	0	0	0	0	0
ENST00000407936	ENSG00000100142	0	0	0	0	0	0
ENST00000407965	ENSG00000185022	0	0	0	0	0	0
ENST00000407973	ENSG00000138867	0	0	0	0	0	0
ENST00000407997	ENSG00000239713	1	0	0	0	0	0
ENST00000408031	ENSG00000075240	0	0	0	0	0	0
ENST00000408112	ENSG00000221039	0	0	0	0	0	0
ENST00000408233	ENSG00000284015	0	0	0	0	0	0
ENST00000408439	ENSG00000284464	0	0	0	0	0	0
ENST00000408671	ENSG00000221598	0	0	0	0	0	0
ENST00000408833	ENSG00000221760	0	0	0	0	0	0
ENST00000408983	ENSG00000100320	0	0	0	0	0	0
ENST00000409006	ENSG00000100196	1	1.07999	3	0.7953	0	0
ENST00000409496	ENSG00000188064	0	0	0	0	0	0
ENST00000409652	ENSG00000221963	21	6	3	3	3	2
ENST00000409926	ENSG00000224334	0	0	0	0	0	0
ENST00000410028	ENSG00000249680	0	0	0	0	0	0
ENST00000410058	ENSG00000188064	0	0	0	0	0	0
ENST00000410078	ENSG00000222037	0	0	0	0	0	0
ENST00000410089	ENSG00000188064	0	0	0	0	0	0
ENST00000410099	ENSG00000222044	0	0	0	0	0	0
ENST00000410420	ENSG00000222352	0	0	0	0	0	0
ENST00000410653	ENSG00000222585	0	0	0	0	0	0
ENST00000410698	ENSG00000222630	0	0	0	0	0	0
ENST00000410766	ENSG00000222698	0	0	0	0	0	0
ENST00000410983	ENSG00000222915	0	0	0	0	0	0
ENST00000411124	ENSG00000223056	0	0	0	0	0	0
ENST00000411210	ENSG00000223142	0	0	0	0	0	0
ENST00000411423	ENSG00000099995	0	0	0	0	0	0
ENST00000411478	ENSG00000077942	0	0	0	0	0	0
ENST00000411501	ENSG00000100083	0	0	0	0	0	0
ENST00000411511	ENSG00000233577	0	0	0	0	0	0
ENST00000411518	ENSG00000198089	0	0	0	0	0	0
ENST00000411532	ENSG00000100325	0	0	0	0	0	0
ENST00000411545	ENSG00000229107	0	0	0	0	0	0
ENST00000411557	ENSG00000100211	0	2	1	0	0	0
ENST00000411581	ENSG00000206142	0	0	0	0	0	0
ENST00000411679	ENSG00000198792	0	0	0	0	0	0
ENST00000411680	ENSG00000196576	0	0	0	0	0	0
ENST00000411695	ENSG00000100380	0	0	0	0	0	0
ENST00000411769	ENSG00000099942	0	0	0	0	0	0
ENST00000411821	ENSG00000128242	0	2	1	0	0	0
ENST00000411850	ENSG00000100284	33	15	9	0	1.66667	2.5
ENST00000411892	ENSG00000099901	0	1.00848	0	0	0	0
ENST00000411907	ENSG00000183597	0	0	0	0	0	0
ENST00000411915	ENSG00000100348	0	1	0	0	0	0
ENST00000411920	ENSG00000237446	0	0	0	0	0	0
ENST00000411961	ENSG00000100124	0	0	1	0	0	0
ENST00000411969	ENSG00000234208	0	0	0	0	0	0
ENST00000411974	ENSG00000100031	0	0	0	0	0	0
ENST00000412037	ENSG00000236794	0	0	0	0	0	0
ENST00000412060	ENSG00000229891	0	0	0	0	0	0
ENST00000412067	ENSG00000228274	0	0	0	0	0	0
ENST00000412113	ENSG00000183066	0	0	0	0	0	0
ENST00000412149	ENSG00000234630	0	0	0	0	0	0
ENST00000412218	ENSG00000236052	0	0	0	0	0	0
ENST00000412238	ENSG00000237358	0	0	0	0	0	0
ENST00000412250	ENSG00000217261	0	0	0	0	0	0
ENST00000412277	ENSG00000185133	0	0	0	0.25795	0	0
ENST00000412331	ENSG00000100129	2.46469	16.30708	2.31345	4.79233	25.38987	2.4214
ENST00000412433	ENSG00000241484	0	0	0	0	0	0
ENST00000412448	ENSG00000197421	0	0	0	0	0	0
ENST00000412461	ENSG00000237347	0	0	0	0	0	0
ENST00000412472	ENSG00000206066	0	0	0	0	0	0
ENST00000412544	ENSG00000184702	0	0	0	0	0	0
ENST00000412575	ENSG00000185666	0	0	0	0	0	0
ENST00000412643	ENSG00000235159	0	0	0	0	0	0
ENST00000412649	ENSG00000070371	0	1.17649	2	0	0	0
ENST00000412658	ENSG00000100031	0	0	0	0	0	0
ENST00000412689	ENSG00000100325	0	0	0	0	0	0
ENST00000412713	ENSG00000243762	0	0	0	0	0	0
ENST00000412729	ENSG00000237299	0	0	0	0	0	0
ENST00000412743	ENSG00000183530	0	0	0	0	0	0
ENST00000412752	ENSG00000242114	1.04935	11.0678	3	0	0	1.12982
ENST00000412773	ENSG00000234884	0	0	0	0	0	0
ENST00000412786	ENSG00000093010	1.00959	0	0	0	0	0
ENST00000412790	ENSG00000178803	0	0	0	0	0	0
ENST00000412798	ENSG00000235786	0	0	0	0	0	0
ENST00000412832	ENSG00000100221	0	0	0	0	0	0
ENST00000412865	ENSG00000167065	0	0	0.5	0	0	0
ENST00000412879	ENSG00000100372	0	0	0	0	0	0
ENST00000412893	ENSG00000100292	0	0	0	0	0	0
ENST00000412898	ENSG00000100031	0	0	0	0	0	0
ENST00000412938	ENSG00000161103	0	1	0	0	0	0
ENST00000412985	ENSG00000185133	0	0	0	0	0	0
ENST00000413051	ENSG00000100106	0	0	0	0	0	0
ENST00000413110	ENSG00000237668	1	14	1	0	11	1
ENST00000413114	ENSG00000133424	0	0	0	0	0	0
ENST00000413119	ENSG00000184113	0	0	0	0	0	0
ENST00000413137	ENSG00000100263	0	0	0	0	0	0
ENST00000413209	ENSG00000186575	0.33333	0	0	0	0	0
ENST00000413244	ENSG00000230051	0	0	0	0	0	0
ENST00000413251	ENSG00000100083	0	0	0	0	0	0
ENST00000413258	ENSG00000184702	0	0	0	0	0	0
ENST00000413293	ENSG00000272779	2	0	1.2	0	0	0
ENST00000413294	ENSG00000228161	0	0	0	0	0	0
ENST00000413302	ENSG00000099957	0	0	0	0	0	0
ENST00000413424	ENSG00000100380	0	0	0	0	0	0
ENST00000413494	ENSG00000237387	0	0	0	0	0	0
ENST00000413497	ENSG00000100124	0	0	0	0	0	0
ENST00000413505	ENSG00000079974	0	0	0	0	0	0
ENST00000413574	ENSG00000213923	2.74888	7.8791	3.14915	0	0	6.41715
ENST00000413576	ENSG00000131100	0	0	0	0	0	0
ENST00000413665	ENSG00000225783	0	0	0	0	0	0
ENST00000413768	ENSG00000206195	1	0	0	0	0	0
ENST00000413815	ENSG00000232897	0	0	0	0	0	0
ENST00000413817	ENSG00000205593	2	2	1.5	0	0	0.5
ENST00000413877	ENSG00000206140	0	0	0	0	0	0.5
ENST00000413942	ENSG00000167074	0	0	0	0	0	0
ENST00000413981	ENSG00000183628	0	0	0	0	0	0
ENST00000414022	ENSG00000226287	0	0	0	0	0	0
ENST00000414048	ENSG00000238153	0	1	0	0	0	0
ENST00000414147	ENSG00000237948	0	0	0	0	0	0
ENST00000414183	ENSG00000182944	1.19703	0	0	0	0	0
ENST00000414203	ENSG00000231467	0	0	0	0	0	0
ENST00000414261	ENSG00000229999	0	0	0	0	0	0
ENST00000414269	ENSG00000056487	0	0	0	0	0	0
ENST00000414287	ENSG00000188511	0	0	0	0	0	0
ENST00000414316	ENSG00000100129	0	0	0	0	0	0
ENST00000414347	ENSG00000166897	0	0	0	0	0	0
ENST00000414401	ENSG00000237438	0	0.49902	0	0	0	0
ENST00000414461	ENSG00000100320	0	0	0	0	0	0
ENST00000414483	ENSG00000238192	0	0	0	0	0	0
ENST00000414583	ENSG00000128262	0	0	0	0	0	0
ENST00000414636	ENSG00000100417	0	0	0	0	0	0
ENST00000414658	ENSG00000099917	0	0	0	0	0	0
ENST00000414672	ENSG00000100263	0	0	0	0	0	0
ENST00000414725	ENSG00000243156	0	0	0	0	0	0
ENST00000414726	ENSG00000232775	0	0	0	0	0	0
ENST00000414780	ENSG00000226024	0	0	0	0	0	0
ENST00000414786	ENSG00000251322	0	0	4	0	0	1
ENST00000414854	ENSG00000100364	0	0	0	0	0	0
ENST00000414902	ENSG00000100296	0	0	0	0	0	0
ENST00000414985	ENSG00000099949	0	0	0	0	0	0
ENST00000414989	ENSG00000224192	0	0	0	0	0	0
ENST00000415054	ENSG00000232754	0	0	0	0	0	0
ENST00000415063	ENSG00000100365	0	0	0	0	0	0
ENST00000415072	ENSG00000100003	0	0	0	0	0	0
ENST00000415100	ENSG00000184117	0	0	0	0	0	0
ENST00000415114	ENSG00000215478	0	0	0	0	0	0
ENST00000415121	ENSG00000100181	0	0	0	0	0	0
ENST00000415205	ENSG00000182057	2	1	1	0	0	1
ENST00000415224	ENSG00000138964	0	0	0	0	0	0
ENST00000415296	ENSG00000180957	0	0	0	0	0	0
ENST00000415332	ENSG00000100321	0	0	0	0	0	0
ENST00000415354	ENSG00000099949	0	0	0	0	0	0
ENST00000415371	ENSG00000100116	0	0	0	0	0	0
ENST00000415376	ENSG00000215498	0	0	0	0	0	0
ENST00000415388	ENSG00000100024	0	0	0	0	0	0
ENST00000415408	ENSG00000166897	0	0	0	0	0	0
ENST00000415447	ENSG00000100280	0	0	0	0	0	0
ENST00000415483	ENSG00000100206	0	0	0	0	0	0
ENST00000415484	ENSG00000239282	0	0	0	0	0	0
ENST00000415503	ENSG00000236540	0	0	0	0	0	0
ENST00000415511	ENSG00000100330	0	0	0	0	0	0
ENST00000415639	ENSG00000237472	0	0	0	0	0	0
ENST00000415642	ENSG00000231392	0	0	0	0	0	0
ENST00000415653	ENSG00000100360	0	0	0	0	0	0
ENST00000415655	ENSG00000224027	0	0	0	0	0	0
ENST00000415670	ENSG00000128283	0	0	0	0	0	0
ENST00000415702	ENSG00000232655	0	0	0	0	0	0
ENST00000415704	ENSG00000215498	0	0	0	0	0	0
ENST00000415709	ENSG00000100058	0	0	0	0	0	0
ENST00000415756	ENSG00000100280	0	0	0	0	0	0
ENST00000415761	ENSG00000182944	0	0	0	0	0	0
ENST00000415762	ENSG00000161179	18.81858	75.84223	28.38109	1.15775	5	2.6317
